"GEO_ID","NAME","P9_001N","P9_002N","P9_003N","P9_004N","P9_005N","P9_006N","P9_007N","P9_008N","P9_009N","P9_010N","P9_011N","P9_012N","P9_013N","P9_014N","P9_015N","P9_016N","P9_017N","P9_018N","P9_019N","P9_020N","P9_021N","P9_022N","P9_023N","P9_024N","P9_025N","P9_026N","P9_027N","P9_028N","P9_029N","P9_030N","P9_031N","P9_032N","P9_033N","P9_034N","P9_035N","P9_036N","P9_037N","P9_038N","P9_039N","P9_040N","P9_041N","P9_042N","P9_043N","P9_044N","P9_045N","P9_046N","P9_047N","P9_048N","P9_049N","P9_050N","P9_051N","P9_052N","P9_053N","P9_054N","P9_055N","P9_056N","P9_057N","P9_058N","P9_059N","P9_060N","P9_061N","P9_062N","P9_063N","P9_064N","P9_065N","P9_066N","P9_067N","P9_068N","P9_069N","P9_070N","P9_071N","P9_072N","P9_073N",
"1600000US0600982","Alleghany CDP, California","30","2","28","25","23","0","0","0","0","2","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0600996","Allendale CDP, California","1651","285","1366","1261","1159","46","7","34","4","11","105","98","22","22","30","0","18","0","5","0","1","0","0","0","0","0","0","4","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601010","Allensworth CDP, California","531","494","37","35","7","20","0","7","1","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601094","Almanor CDP, California","3","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601150","Alondra Park CDP, California","8569","4204","4365","4033","1572","926","21","1410","24","80","332","297","49","26","155","3","31","4","2","1","13","0","0","0","11","2","0","32","5","2","0","0","10","0","0","13","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601164","Alpaugh CDP, California","871","768","103","84","71","2","5","6","0","0","19","19","0","7","3","0","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601192","Alpine CDP, California","14696","2688","12008","11176","10364","221","129","306","49","107","832","754","66","246","212","27","153","10","6","7","1","4","10","0","10","2","0","73","20","11","2","3","16","1","2","13","1","0","0","0","0","2","1","0","0","1","0","0","5","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601228","Alpine Village CDP, California","224","20","204","195","168","0","23","3","0","1","9","7","0","2","0","0","4","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601276","Alta CDP, California","615","39","576","546","517","1","17","5","0","6","30","27","1","11","10","0","5","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601290","Altadena CDP, California","42846","12171","30675","28341","17900","7136","46","2919","47","293","2334","2125","472","216","821","15","251","106","98","5","68","11","0","3","36","21","2","183","86","34","0","6","14","0","1","26","7","0","1","1","1","3","2","0","0","0","0","1","25","11","3","6","3","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0",
"1600000US0601358","Alta Sierra CDP (Kern County), California","103","11","92","92","88","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601360","Alta Sierra CDP (Nevada County), California","7204","576","6628","6189","5963","23","59","93","12","39","439","411","21","171","75","8","124","7","0","0","0","0","4","0","1","0","0","23","2","3","0","0","2","0","3","10","2","0","0","0","0","0","1","0","0","0","0","0","5","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1600000US0601416","Alto CDP, California","732","57","675","618","571","2","0","31","1","13","57","55","2","4","29","2","17","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1600000US0601444","Alturas city, California","2715","415","2300","2162","1982","31","88","36","7","18","138","128","14","80","10","0","18","0","0","0","2","0","0","0","3","1","0","8","0","0","0","0","1","0","0","1","0","2","3","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
