NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Cherokee Strip CDP, California",206,164
"Cherryland CDP, California",15808,9179
"Cherry Valley CDP, California",6509,1544
"Chester CDP, California",2187,175
"Chico city, California",101475,20638
"Chilcoot-Vinton CDP, California",446,28
"China Lake Acres CDP, California",1757,327
"Chinese Camp CDP, California",90,9
"Chino city, California",91403,46841
"Chino Hills city, California",78411,22084
"Choctaw Valley CDP, California",237,40
"Chowchilla city, California",19039,9054
"Chualar CDP, California",1185,1143
"Chula Vista city, California",275487,164698
"Citrus CDP, California",10243,7806
"Citrus Heights city, California",87583,17176
"Claremont city, California",37266,9416
"Clarksburg CDP, California",402,111
"Clay CDP, California",1252,284
"Clayton city, California",11070,1242
"Clear Creek CDP, California",175,9
"Clearlake city, California",16685,5406
"Clearlake Oaks CDP, California",2551,314
"Clearlake Riviera CDP, California",3410,651
"Cleone CDP, California",622,182
"Clio CDP, California",77,0
"Clipper Mills CDP, California",160,12
"Cloverdale city, California",8996,3470
"Clovis city, California",120124,36594
"Clyde CDP, California",729,144
"Coachella city, California",41941,40421
"Coalinga city, California",17590,11243
"Coarsegold CDP, California",4144,589
"Cobb CDP, California",1295,119
"Coffee Creek CDP, California",152,12
"Cohasset CDP, California",830,58
"Cold Springs CDP (El Dorado County), California",556,52
"Cold Springs CDP (Tuolumne County), California",123,7
"Coleville CDP, California",419,104
"Colfax city, California",1995,210
"College City CDP, California",292,201
"Collierville CDP, California",2094,784
"Colma town, California",1507,621
"Coloma CDP, California",521,60
"Colton city, California",53909,39779
"Columbia CDP, California",2577,308
"Colusa city, California",6411,3757
"Commerce city, California",12378,11690
"Comptche CDP, California",167,15
"Compton city, California",95740,67791
"Concord city, California",125410,38953
"Concow CDP, California",402,32
"Contra Costa Centre CDP, California",6808,833
"Copperopolis CDP, California",3400,487
"Corcoran city, California",22339,15538
"Corning city, California",8244,4487
"Corona city, California",157136,73102
"Coronado city, California",20192,3406
"Coronita CDP, California",2639,1590
"Corralitos CDP, California",2342,635
"Corte Madera town, California",10222,1092
"Costa Mesa city, California",111918,40795
"Cotati city, California",7584,1720
"Coto de Caza CDP, California",14710,1522
"Cottonwood CDP (Kern County), California",3971,3114
"Cottonwood CDP (Shasta County), California",6268,694
"Coulterville CDP, California",115,13
"Country Club CDP, California",10777,5459
"Courtland CDP, California",326,176
"Covelo CDP, California",1394,488
"Covina city, California",51268,30108
"Cowan CDP, California",342,227
"Crane Creek CDP, California",29,1
"Crescent City city, California",6673,2181
"Crescent Mills CDP, California",206,22
"Cressey CDP, California",366,206
"Crest CDP, California",2828,582
"Crestline CDP, California",11650,2823
"Creston CDP, California",98,33
"C-Road CDP, California",140,3
"Crockett CDP, California",3242,625
"Cromberg CDP, California",272,35
"Crowley Lake CDP, California",980,182
"Crows Landing CDP, California",322,243
"Cudahy city, California",22811,21872
"Culver City city, California",40779,8732
"Cupertino city, California",60381,2330
"Cutler CDP, California",4480,4309
"Cutten CDP, California",3223,365
"Cuyama CDP, California",37,17
"Cypress city, California",50151,10689
"Dales CDP, California",28,4
"Daly City city, California",104901,25237
"Dana Point city, California",33107,6294
"Danville town, California",43582,3952
"Daphnedale Park CDP, California",129,9
"Darwin CDP, California",36,0
"Davenport CDP, California",388,152
"Davis city, California",66850,11343
"Day Valley CDP, California",3410,641
"Deer Park CDP, California",1294,251
"Del Aire CDP, California",10338,4877
"Delano city, California",51428,38453
